place,title,time,pay,date
서울 강남구,현대백화점 무역센터점,10:00~19:30,"시급8,600",5분전
경기 부천시,현대백화점 중동점,10:00~19:30,"시급8,600",7분전
서울 강남구,현대백화점 무역센터점,10:00~19:00,"시급8,600",43분전
경기 고양시,현대백화점 킨텍스점,10:00~19:30,"시급8,600",45분전
서울 강동구,현대백화점 천호점,10:00~19:30,"시급8,600",2시간전
대구 중구,현대백화점,10:00~19:30,"시급8,600",3시간전
경기 성남시,현대백화점 판교점,10:00~19:30,"시급8,600",3시간전
경기 고양시,현대백화점 킨텍스점,09:00~18:30,"시급8,600",4시간전
인천 연수구,현대프리미엄아울렛 송도점,10:00~19:00,"시급8,600",5시간전
서울 강남구,현대백화점,09:30~18:30,"시급9,410",08/20
서울 서대문,현대백화점 신촌점,10:30~20:30,"시급8,600",08/20
서울 강남구,현대백화점,09:00~19:00,"시급8,600",08/20
충북 청주시,현대백화점 충청점,10:30~20:00,"시급8,600",08/19
경기 성남시,현대백화점 판교점,09:00~18:30,"시급8,600",08/18
경기 성남시,현대백화점 판교점,10:00~20:00,"시급8,600",08/17
서울 성북구,현대백화점 미아점,09:00~18:00,"시급8,600",08/15
서울 강남구,현대백화점 무역센터점,10:00~19:00,"시급8,600",08/13
경기 고양시,현대백화점 킨텍스점,10:00~19:30,"시급8,600",08/12
서울 구로구,현대백화점,11:00~18:00,"시급8,600",08/10
인천 연수구,현대프리미엄아울렛 송도점,10:00~19:30,"시급8,600",08/08
