place,title,time,pay,date
서울 강남구,만족오향족발 강남점,10:00~22:00,"월급2,700,000",01/25
서울 강남구,만족오향족발 강남점,10:00~22:00,"월급2,700,000",01/25
충남 천안시,만족오향족발 천안점,10:00~22:00,"월급2,700,000",01/25
충남 천안시,만족오향족발 천안점,10:00~22:00,"월급2,700,000",01/25
서울 중구,만족오향족발 시청본점,10:00~10:00,"월급2,700,000",01/25
충남 천안시,만족오향족발 천안점,10:00~22:00,"월급2,700,000",01/21
충남 천안시,만족오향족발 천안점,10:00~22:00,"월급2,700,000",01/21
서울 영등포,만족오향족발 당산점,10:00~22:00,"월급2,700,000",01/17
서울 중구,만족오향족발 시청본점,10:00~10:00,"월급2,700,000",01/17
서울 마포구,만족오향족발 상암DMC점,10:30~20:30,"시급9,160",01/17
서울 마포구,만족오향족발 상암DMC점,10:30~20:30,"시급9,160",01/17
서울 마포구,만족오향족발 상암DMC점,10:30~20:30,"시급9,160",01/17
서울 영등포,만족오향족발 당산점,10:00~22:00,"월급2,700,000",01/17
서울 영등포,만족오향족발 당산점,10:00~22:00,"월급2,700,000",01/17
서울 영등포,만족오향족발 당산점,10:00~22:00,"월급2,700,000",01/17
서울 중구,만족오향족발 시청본점,10:00~10:00,"월급2,700,000",01/17
